"shapeid","x","y"
"0.0","-89.3825477528","43.2967340692"
"0.0","-89.3822098492","43.2967307562"
"0.0","-89.3822156781","43.2963466078"
"0.0","-89.3825537063","43.2963500082"
"0.0","-89.3825477528","43.2967340692"
"1.0","-89.3820595757","43.2967338875"
"1.0","-89.3817215455","43.2967304857"
"1.0","-89.381727374","43.2963462473"
"1.0","-89.3820654056","43.2963497391"
"1.0","-89.3820595757","43.2967338875"
"2.0","-89.3815712719","43.2967336164"
"2.0","-89.3812332416","43.2967302131"
"2.0","-89.3812390767","43.2963460646"
"2.0","-89.3815771014","43.2963493779"
"2.0","-89.3815712719","43.2967336164"
"3.0","-89.3825483501","43.2962128966"
"3.0","-89.3822103227","43.2962094962"
"3.0","-89.3822161518","43.2958253478"
"3.0","-89.3825543001","43.2958287457"
"3.0","-89.3825483501","43.2962128966"
"4.0","-89.3820600505","43.2962126275"
"4.0","-89.3817220196","43.2962091356"
"4.0","-89.3817278553","43.2958250771"
"4.0","-89.3820658805","43.295828479"
"4.0","-89.3820600505","43.2962126275"
"5.0","-89.3815717474","43.2962122662"
"5.0","-89.3812337235","43.2962089529"
"5.0","-89.3812396819","43.2958248018"
"5.0","-89.381577584","43.2958282077"
"5.0","-89.3815717474","43.2962122662"
"6.0","-89.3815722301","43.295691096"
"6.0","-89.3812343287","43.2956876901"
"6.0","-89.3812401675","43.2953036315"
"6.0","-89.3815781899","43.2953070349"
"6.0","-89.3815722301","43.295691096"
"7.0","-89.3810840577","43.29569082"
"7.0","-89.3807460367","43.2956875051"
"7.0","-89.3807518715","43.2953032666"
"7.0","-89.3810898975","43.2953067614"
"7.0","-89.3810840577","43.29569082"
"8.0","-89.3805957656","43.2956906345"
"8.0","-89.3802577375","43.2956871382"
"8.0","-89.3802637021","43.295302987"
"8.0","-89.3806016014","43.2953063959"
"8.0","-89.3805957656","43.2956906345"
"9.0","-89.381082968","43.2967333431"
"9.0","-89.3807449377","43.2967299384"
"9.0","-89.380750899","43.2963457873"
"9.0","-89.3810888041","43.2963491946"
"9.0","-89.381082968","43.2967333431"
"10.0","-89.3805946641","43.2967330678"
"10.0","-89.3802566337","43.2967296616"
"10.0","-89.3802625981","43.2963455105"
"10.0","-89.3806006264","43.2963489167"
"10.0","-89.3805946641","43.2967330678"
"11.0","-89.38010636","43.2967327904"
"11.0","-89.3797684528","43.2967293802"
"11.0","-89.3797743006","43.2963453215"
"11.0","-89.3801123254","43.2963486392"
"11.0","-89.38010636","43.2967327904"
"12.0","-89.3795429825","43.2967325428"
"12.0","-89.3792050717","43.296729041"
"12.0","-89.3792109196","43.2963448923"
"12.0","-89.3795489479","43.2963483016"
"12.0","-89.3795429825","43.2967325428"
"13.0","-89.3790547979","43.2967321684"
"13.0","-89.3787167674","43.2967287576"
"13.0","-89.3787226219","43.2963446989"
"13.0","-89.3790606467","43.2963480197"
"13.0","-89.3790547979","43.2967321684"
"14.0","-89.3785664935","43.2967318844"
"14.0","-89.378228463","43.2967284722"
"14.0","-89.3782344437","43.2963444108"
"14.0","-89.378572349","43.2963478256"
"14.0","-89.3785664935","43.2967318844"
"15.0","-89.3780781891","43.2967315983"
"15.0","-89.3777401621","43.2967282746"
"15.0","-89.3777461424","43.2963441232"
"15.0","-89.3780841708","43.2963475369"
"15.0","-89.3780781891","43.2967315983"
"16.0","-89.3810834512","43.2962120829"
"16.0","-89.3807455469","43.2962086755"
"16.0","-89.3807513887","43.2958246169"
"16.0","-89.3810894105","43.2958279318"
"16.0","-89.3810834512","43.2962120829"
"17.0","-89.3805952746","43.2962118049"
"17.0","-89.3802572471","43.2962083986"
"17.0","-89.3802630884","43.29582425"
"17.0","-89.3806011173","43.2958277463"
"17.0","-89.3805952746","43.2962118049"
"18.0","-89.3801069747","43.2962115274"
"18.0","-89.3797689507","43.2962082097"
"18.0","-89.3797749148","43.2958239685"
"18.0","-89.380112817","43.2958273787"
"18.0","-89.3801069747","43.2962115274"
"19.0","-89.3795435985","43.2962111897"
"19.0","-89.3792055709","43.2962077804"
"19.0","-89.3792115456","43.2958237191"
"19.0","-89.3795494478","43.295827131"
"19.0","-89.3795435985","43.2962111897"
"20.0","-89.3790552984","43.2962109077"
"20.0","-89.3787172743","43.2962075869"
"20.0","-89.3787232485","43.2958234356"
"20.0","-89.379061274","43.2958268464"
"20.0","-89.3790552984","43.2962109077"
"21.0","-89.3785670017","43.2962107136"
"21.0","-89.3782290973","43.2962072988"
"21.0","-89.3782349479","43.29582306"
"21.0","-89.3785729769","43.2958265623"
"21.0","-89.3785670017","43.2962107136"
"22.0","-89.3780788246","43.2962104249"
"22.0","-89.377740797","43.2962070112"
"22.0","-89.3777466542","43.2958228623"
"22.0","-89.3780846762","43.2958261861"
"22.0","-89.3780788246","43.2962104249"
"23.0","-89.3825489441","43.2956916341"
"23.0","-89.3822107964","43.2956882361"
"23.0","-89.3822167487","43.2953040851"
"23.0","-89.3825547711","43.2953074857"
"23.0","-89.3825489441","43.2956916341"
"24.0","-89.3820605255","43.2956913674"
"24.0","-89.381722501","43.2956879654"
"24.0","-89.3817284599","43.2953039043"
"24.0","-89.3820664788","43.2953072164"
"24.0","-89.3820605255","43.2956913674"
"25.0","-89.3801074664","43.2956902669"
"25.0","-89.3797695649","43.2956868566"
"25.0","-89.3797754129","43.2953027979"
"25.0","-89.3801134319","43.2953061157"
"25.0","-89.3801074664","43.2956902669"
"26.0","-89.3795440985","43.2956900191"
"26.0","-89.379206197","43.2956866071"
"26.0","-89.379212045","43.2953024584"
"26.0","-89.3795500641","43.2953057779"
"26.0","-89.3795440985","43.2956900191"
"27.0","-89.3790559257","43.2956897345"
"27.0","-89.378717901","43.2956863236"
"27.0","-89.3787237522","43.2953021748"
"27.0","-89.3790617748","43.2953055857"
"27.0","-89.3790559257","43.2956897345"
"28.0","-89.3785676298","43.2956894503"
"28.0","-89.3782296015","43.295685948"
"28.0","-89.3782354592","43.2953018891"
"28.0","-89.3785734818","43.2953053015"
"28.0","-89.3785676298","43.2956894503"
"29.0","-89.3780793302","43.295689074"
"29.0","-89.3777413089","43.2956857502"
"29.0","-89.3777471662","43.2953016014"
"29.0","-89.3780851888","43.2953050151"
"29.0","-89.3780793302","43.295689074"
"30.0","-89.3795424828","43.2972537133"
"30.0","-89.3792044495","43.2972503041"
"30.0","-89.3792104204","43.2968661529"
"30.0","-89.379548332","43.2968696547"
"30.0","-89.3795424828","43.2972537133"
"31.0","-89.3790541744","43.2972534315"
"31.0","-89.3787161445","43.2972501108"
"31.0","-89.3787221151","43.2968658696"
"31.0","-89.3790601463","43.2968692803"
"31.0","-89.3790541744","43.2972534315"
"32.0","-85.3892527497","42.4122137599"
"32.0","-85.38830023","42.4122357539"
"32.0","-85.3882653568","42.4115004257"
"32.0","-85.3892540112","42.4114963608"
"32.0","-85.3892527497","42.4122137599"
"33.0","-89.3785658694","43.2972532376"
"33.0","-89.378227836","43.2972498255"
"33.0","-89.3782338096","43.2968655842"
"33.0","-89.3785718409","43.2968689963"
"33.0","-89.3785658694","43.2972532376"
"34.0","-89.3780775608","43.2972529516"
"34.0","-89.377739647","43.2972494455"
"34.0","-89.3777455075","43.2968653867"
"34.0","-89.3780835353","43.2968687103"
"34.0","-89.3780775608","43.2972529516"
"35.0","-89.3825494151","43.2951703741"
"35.0","-89.3822113935","43.2951669735"
"35.0","-89.3822173494","43.2947829124"
"35.0","-89.3825552422","43.2947862256"
"35.0","-89.3825494151","43.2951703741"
"36.0","-89.3820611239","43.2951701047"
"36.0","-89.3817231058","43.2951667926"
"36.0","-89.3817290578","43.2947825516"
"36.0","-89.3820670807","43.2947860436"
"36.0","-89.3820611239","43.2951701047"
"37.0","-89.3815728361","43.2951699232"
"37.0","-89.3812348145","43.2951665197"
"37.0","-89.3812407695","43.2947822786"
"37.0","-89.381578789","43.2947856821"
"37.0","-89.3815728361","43.2951699232"
"38.0","-89.3810845448","43.2951696497"
"38.0","-89.3807465196","43.2951661548"
"38.0","-89.3807524847","43.2947820936"
"38.0","-89.3810905007","43.2947854086"
"38.0","-89.3810845448","43.2951696497"
"39.0","-89.3805962498","43.2951692841"
"39.0","-89.3802583513","43.2951658752"
"39.0","-89.3802641963","43.2947818165"
"39.0","-89.3806022159","43.2947852229"
"39.0","-89.3805962498","43.2951692841"
"40.0","-89.3801080814","43.2951690038"
"40.0","-89.3797700632","43.295165686"
"40.0","-89.379776031","43.2947815347"
"40.0","-89.3801139274","43.2947849451"
"40.0","-89.3801080814","43.2951690038"
"41.0","-89.3795447148","43.295168666"
"41.0","-89.3792066966","43.2951653465"
"41.0","-89.3792126679","43.2947811951"
"41.0","-89.3795505644","43.2947846072"
"41.0","-89.3795447148","43.295168666"
"42.0","-89.3790564266","43.2951684737"
"42.0","-89.3787184048","43.2951650628"
"42.0","-89.378724256","43.294780914"
"42.0","-89.3790623989","43.2947843224"
"42.0","-89.3790564266","43.2951684737"
"43.0","-89.3785681348","43.2951681895"
"43.0","-89.378230113","43.2951647771"
"43.0","-89.3782360904","43.2947806257"
"43.0","-89.378573987","43.2947840406"
"43.0","-89.3785681348","43.2951681895"
"44.0","-89.3780798429","43.2951679031"
"44.0","-89.377741821","43.2951644893"
"44.0","-89.3777478051","43.2947804278"
"44.0","-89.3780858213","43.2947837516"
"44.0","-89.3780798429","43.2951679031"
"45.0","-89.3780804755","43.2946466396"
"45.0","-89.37774246","43.2946433156"
"45.0","-89.3777484371","43.2942590742"
"45.0","-89.3780863308","43.2942624907"
"45.0","-89.3780804755","43.2946466396"
"46.0","-89.37856864","43.2946469286"
"46.0","-89.3782307443","43.2946435136"
"46.0","-89.3782365987","43.2942593647"
"46.0","-89.3785746155","43.2942627772"
"46.0","-89.37856864","43.2946469286"
"47.0","-89.3790570509","43.2946472104"
"47.0","-89.3787189088","43.294643802"
"47.0","-89.3787248833","43.2942596506"
"47.0","-89.3790627804","43.2942631541"
"47.0","-89.3790570509","43.2946472104"
"48.0","-89.3795452152","43.2946474953"
"48.0","-89.3792073195","43.2946440832"
"48.0","-89.3792130481","43.2942600269"
"48.0","-89.3795511845","43.2942633439"
"48.0","-89.3795452152","43.2946474953"
"49.0","-89.380108577","43.2946478332"
"49.0","-89.3797706813","43.2946444228"
"49.0","-89.379776526","43.294260274"
"49.0","-89.3801145392","43.294263592"
"49.0","-89.380108577","43.2946478332"
"50.0","-89.3805968644","43.294648111"
"50.0","-89.3802588456","43.2946447046"
"50.0","-89.3802648068","43.2942604634"
"50.0","-89.3806027039","43.2942639624"
"50.0","-89.3805968644","43.294648111"
"51.0","-89.3825498863","43.294649114"
"51.0","-89.3822119943","43.2946458007"
"51.0","-89.3822178201","43.2942615622"
"51.0","-89.3825558401","43.2942650529"
"51.0","-89.3825498863","43.294649114"
"52.0","-89.3820617259","43.2946489319"
"52.0","-89.3817237037","43.2946454399"
"52.0","-89.3817295396","43.2942613813"
"52.0","-89.3820675527","43.2942646934"
"52.0","-89.3820617259","43.2946489319"
"53.0","-89.3815734353","43.2946485704"
"53.0","-89.3812354166","43.2946451669"
"53.0","-89.3812412556","43.2942611082"
"53.0","-89.3815792722","43.2942645118"
"53.0","-89.3815734353","43.2946485704"
"54.0","-89.3810851481","43.2946482968"
"54.0","-89.3807471329","43.2946449818"
"54.0","-89.3807529714","43.2942608331"
"54.0","-89.3810909881","43.2942642381"
"54.0","-89.3810851481","43.2946482968"
"55.0","-89.3825472858","43.2972554191"
"55.0","-89.3822092527","43.2972520187"
"55.0","-89.3822152047","43.2968678678"
"55.0","-89.382553109","43.2968711808"
"55.0","-89.3825472858","43.2972554191"
"56.0","-89.3820589779","43.2972551501"
"56.0","-89.3817209413","43.2972516583"
"56.0","-89.3817268999","43.2968675973"
"56.0","-89.3820649309","43.2968709991"
"56.0","-89.3820589779","43.2972551501"
"57.0","-89.3815706664","43.297254789"
"57.0","-89.3812327599","43.2972514732"
"57.0","-89.3812385949","43.2968673248"
"57.0","-89.381576626","43.296870728"
"57.0","-89.3815706664","43.297254789"
"58.0","-89.3810824851","43.2972546033"
"58.0","-89.3807444518","43.2972511986"
"58.0","-89.3807502899","43.2968670501"
"58.0","-89.381088321","43.2968704548"
"58.0","-89.3810824851","43.2972546033"
"59.0","-89.3805941769","43.2972543281"
"59.0","-89.3802561437","43.297250922"
"59.0","-89.3802619848","43.2968667734"
"59.0","-89.3806000159","43.2968701796"
"59.0","-89.3805941769","43.2972543281"
"60.0","-89.3801058687","43.2972540507"
"60.0","-89.3797678354","43.2972506432"
"60.0","-89.3797738028","43.296866492"
"60.0","-89.3801117108","43.2968699022"
"60.0","-89.3801058687","43.2972540507"
"61.0","-85.3774313271","42.4100776531"
"61.0","-85.3763660547","42.4100859358"
"61.0","-85.3763498782","42.4091404012"
"61.0","-85.3774210652","42.4091341861"
"61.0","-85.3774313271","42.4100776531"
"62.0","-85.376259431","42.4100847733"
"62.0","-85.3751975961","42.4100921911"
"62.0","-85.3751815235","42.4091502551"
"62.0","-85.3762458543","42.4091418223"
"62.0","-85.376259431","42.4100847733"
"63.0","-85.3750904319","42.4100916997"
"63.0","-85.3740244687","42.4101082138"
"63.0","-85.3740142597","42.409163853"
"63.0","-85.3750770182","42.4091498221"
"63.0","-85.3750904319","42.4100916997"
"64.0","-85.3774202841","42.4090570639"
"64.0","-85.3763521011","42.4090634944"
"64.0","-85.3763431941","42.4081210095"
"64.0","-85.3774125307","42.4081143223"
"64.0","-85.3774202841","42.4090570639"
"65.0","-85.3774129853","42.4080317052"
"65.0","-85.3763416072","42.408041117"
"65.0","-85.376331145","42.407098492"
"65.0","-85.3773962277","42.4070911076"
"65.0","-85.3774129853","42.4080317052"
"66.0","-85.3703774324","42.4151839126"
"66.0","-85.3693125362","42.4151954294"
"66.0","-85.3693016312","42.4142550041"
"66.0","-85.3703599147","42.4142349236"
"66.0","-85.3703774324","42.4151839126"
"67.0","-85.3726735198","42.4141261992"
"67.0","-85.3716341342","42.4141520788"
"67.0","-85.3716168056","42.4132095018"
"67.0","-85.3726876591","42.4131980778"
"67.0","-85.3726735198","42.4141261992"
"68.0","-85.3715280601","42.4141521054"
"68.0","-85.3704696299","42.4141577399"
